Time, Accel_X, Accel_Y, Accel_Z, Gyro_X, Gyro_Y, Gyro_Z
1733732992.389548063, 0.680068852, -4.353617543, 8.806531530, -0.002180250, 0.004671797, -0.002223633
1733732992.392047167, 0.628852725, -4.164111868, 8.562316099, -0.006470549, -0.002345180, -0.002148612
1733732992.394548178, 0.597394732, -4.195055112, 8.412849297, -0.005139075, -0.010854512, -0.002607687
1733732992.397047043, 0.640677155, -4.499210641, 8.677138969, 0.003613457, -0.014816736, 0.000244105
1733732992.399548054, 0.699072634, -4.539716754, 9.095210200, 0.012408440, -0.012756435, 0.002394635
1733732992.402048111, 0.636387463, -4.244266116, 9.113684457, -0.001513181, 0.003942038, -0.006372758
1733732992.404548168, 0.733437869, -4.238388972, 8.790353439, -0.011268287, 0.009702189, -0.012105559
1733732992.407047033, 0.718948982, -4.375094997, 8.597904422, -0.012351874, 0.007600822, -0.005363713
1733732992.409548998, 0.697494535, -4.274827976, 8.602395187, 0.001915692, -0.005230209, -0.000010653
1733732992.412048101, 0.627687808, -4.207378204, 8.762116550, -0.000205436, -0.009436006, 0.003167724
1733732992.414549112, 0.598594814, -4.337493321, 8.867517210, -0.003319897, -0.003742913, -0.000311004
1733732992.417047024, 0.578194740, -4.345915587, 8.697167945, -0.002623400, -0.002721884, -0.002117000
1733732992.419548035, 0.621644942, -4.355114091, 8.667611079, 0.002682815, 0.000738628, -0.004402711
1733732992.422047138, 0.732279686, -4.434584129, 8.952161663, 0.003781529, 0.005017609, -0.007140095
1733732992.424548149, 0.728786244, -4.343157233, 8.974427886, 0.000997620, 0.008899965, -0.006012619
1733732992.427049160, 0.683173614, -4.206605147, 8.716403850, -0.007789054, 0.006526369, -0.002915043
1733732992.429548025, 0.642942458, -4.314111374, 8.630410428, -0.005342701, 0.004733396, 0.000070441
1733732992.432047129, 0.635021098, -4.394891663, 8.683347744, 0.000905368, -0.003814153, 0.002057904
1733732992.434547186, 0.586790398, -4.301175709, 8.763431290, 0.001619894, -0.002063604, -0.002192288
1733732992.437048197, 0.641030296, -4.391151883, 8.836196322, 0.000243493, 0.003580833, -0.004754834
1733732992.439548016, 0.669083881, -4.413245463, 8.764231469, -0.001486896, 0.004692197, -0.004632888
1733732992.442048073, 0.701322974, -4.300236182, 8.741390457, -0.002561748, 0.001513235, -0.001536351
1733732992.444548130, 0.730354056, -4.317490718, 8.809214505, 0.001984987, 0.002545343, 0.002105229
1733732992.447049141, 0.697750787, -4.343978548, 8.856117934, 0.000544323, -0.001679096, 0.000793409
1733732992.449547052, 0.660143312, -4.358162552, 8.739630549, 0.000209351, 0.000094995, 0.001872682
1733732992.452048063, 0.595072006, -4.345181248, 8.715960366, -0.001570333, -0.002741565, -0.003255421
1733732992.454548120, 0.622971466, -4.330316961, 8.702377712, 0.002325153, -0.000643526, -0.004219512
1733732992.457046986, 0.679488451, -4.317271501, 8.769935035, 0.002325206, -0.000653913, -0.007374719
1733732992.459547997, 0.705711426, -4.305933014, 8.788500570, -0.000510208, -0.003145033, -0.007648439
1733732992.462049007, 0.721783463, -4.319731144, 8.827886843, 0.000182799, -0.002743455, -0.002694453
1733732992.464548111, 0.712901814, -4.359996716, 8.849024623, -0.001553741, -0.002326484, 0.000584084
1733732992.467049122, 0.670197360, -4.334919954, 8.773489266, -0.002601083, -0.000940549, -0.000514203
1733732992.469547987, 0.631368669, -4.289303209, 8.680595937, -0.001551451, -0.001993429, -0.000795566
1733732992.472048044, 0.645371800, -4.365999742, 8.700414300, -0.001192430, 0.000059655, -0.007460659
1733732992.474548101, 0.653193652, -4.300379084, 8.754235030, 0.000192174, -0.001678537, 0.000818283
1733732992.477047205, 0.690228581, -4.284036954, 8.724687516, -0.000833649, 0.000435800, 0.000063916
1733732992.479548216, 0.728449937, -4.375192821, 8.904305614, -0.000109349, 0.002550190, -0.001385190
1733732992.482048035, 0.683527877, -4.328451935, 8.815357066, 0.000589757, 0.003624908, 0.000093663
1733732992.484547138, 0.633021025, -4.249198495, 8.617008460, 0.000233559, 0.001518401, -0.001636193
1733732992.487048149, 0.688781039, -4.369034922, 8.809081142, 0.000243759, 0.003968403, -0.003383440
1733732992.489549160, 0.688870821, -4.368665883, 8.857000039, -0.002192394, 0.005415325, 0.001234135
1733732992.492048025, 0.634742775, -4.292666093, 8.661136513, -0.001501783, 0.005395618, -0.005350743
1733732992.494549036, 0.638467591, -4.337374360, 8.747234494, -0.001503195, 0.003305675, -0.001499573
1733732992.497047186, 0.662317712, -4.366232800, 8.827292975, 0.002013882, 0.005724971, -0.004208034
1733732992.499548197, 0.668036615, -4.314140179, 8.771246221, 0.000238859, 0.003621713, -0.001282206
1733732992.502049208, 0.662674032, -4.333472038, 8.779495471, 0.001320795, 0.005717221, -0.003587065
1733732992.504548073, 0.703588838, -4.361339326, 8.808210073, 0.000607094, 0.005383474, -0.002708089
1733732992.507047176, 0.676800426, -4.311149141, 8.763701757, -0.002553785, 0.004345959, 0.000549463
1733732992.509548187, 0.631761837, -4.309785769, 8.752608673, -0.002555489, 0.004356772, -0.001911537
1733732992.512049198, 0.656545500, -4.367495167, 8.769029175, -0.001172377, 0.001207690, -0.000836099
1733732992.514548063, 0.648234899, -4.338507292, 8.775722210, 0.002325339, -0.000248127, -0.001458240
1733732992.517047167, 0.651398954, -4.315532730, 8.758459444, -0.000838550, -0.002029648, -0.003089347
1733732992.519548178, 0.668465884, -4.326930136, 8.763238259, -0.001199994, -0.002379721, -0.004307051
1733732992.522047997, 0.674386984, -4.369540692, 8.813263845, -0.001226386, -0.005565021, -0.002911927
1733732992.524548054, 0.666668193, -4.308456814, 8.810527375, -0.003673538, -0.003448314, -0.003562724
1733732992.527047157, 0.688499910, -4.368634833, 8.752911312, 0.000197900, -0.001340289, -0.003385890
1733732992.529548168, 0.673109653, -4.352778272, 8.781214415, -0.000882625, -0.004522633, -0.004341752
1733732992.532049179, 0.652479514, -4.319917815, 8.738958496, -0.004023957, -0.003451883, -0.003193024
1733732992.534547091, 0.661020928, -4.341415282, 8.751566645, -0.002625397, -0.003106870, -0.009121114
1733732992.537048101, 0.687080425, -4.333972384, 8.768672106, -0.002257801, -0.004167581, -0.007514908
1733732992.539549112, 0.701724373, -4.322876307, 8.793221962, 0.000900495, -0.004182654, -0.004246996
1733732992.542048216, 0.693295746, -4.312045461, 8.784364629, -0.003656840, -0.001693984, -0.005657540
1733732992.544547081, 0.703074277, -4.359393122, 8.738073025, -0.000835780, -0.002025148, 0.002539351
1733732992.547047138, 0.658771898, -4.332695427, 8.737101325, 0.000212787, 0.000420300, -0.000914316
1733732992.549548149, 0.668370304, -4.343079048, 8.759985171, -0.002209332, 0.001501943, -0.005409626
1733732992.552047014, 0.678851937, -4.305866426, 8.744676465, -0.002204778, 0.003959907, -0.004008883
1733732992.554548025, 0.691010429, -4.331336731, 8.725317671, 0.000961215, 0.002899863, -0.002492026
1733732992.557049036, 0.669141865, -4.365586185, 8.771050198, 0.002344807, 0.003623257, 0.002059289
1733732992.559549093, 0.655863533, -4.311596553, 8.793960416, 0.001653157, 0.003974049, -0.000829015
1733732992.562047005, 0.678697999, -4.343073063, 8.763849897, -0.001489107, 0.007225822, 0.002319693
1733732992.564548016, 0.656972524, -4.298797805, 8.790802721, -0.001122815, 0.008973122, 0.000200936
1733732992.567047119, 0.670980144, -4.308434368, 8.778033339, -0.001122709, 0.008974240, 0.002311251
1733732992.569548130, 0.660852213, -4.311669687, 8.767602021, -0.002165230, 0.008961937, 0.000857112
